nome,sigla,codigo,tipo,vel_max_kmh,raio_m,ativo,pedagio,rodoviaria,garagem,lat,lng
INDIAROBA - SE / CHURR. BRASA QUENTE,BRASA QUEN,459,Local Não Autorizado - 42,30,50,false,false,false,false,-11.516205,-37.51114
POSTO E RESTAURANTE BRASILEIRÃO,BRASILEIR,193,Ponto de Controle - 12,10,150,false,false,false,false,-18.661831,-48.161401
RODOVIARIA DE BREJO SANTO - CE,BRE.STO,158,Ponto de Controle - 12,0,50,false,false,true,false,-7.479387,-38.980832
RODOVIARIA DE BRASILIA - BSB,BSB,14,Ponto de Controle - 12,10,100,false,false,true,false,-15.830449,-47.949158
RODOVIARIA DE CAJAZEIRAS-PB,CAJAZEIRAS,155,Ponto de Controle - 12,0,75,false,false,true,false,-6.887235,-38.553877
ALHANDRA - PB / Coxinhas Matuta & Churr. Do Cajuei,CAJUEI,469,Local Não Autorizado - 42,0,20,false,false,false,false,-7.325464,-34.946723
RODOVIARIA DE CALDAS NOVAS - GO,CALDAS NOV,169,Ponto de Controle - 12,0,65,false,false,true,false,-17.756566,-48.630475
OLIVEIRA DOS BREJINHOS - BA - REST. CAMILA,CAMILA,395,Local Não Autorizado - 42,10,66,false,false,false,false,-12.312515,-42.599081
RODOVIARIA CAMPINAS - SP,CAMPINAS,20,Ponto de Controle - 12,10,100,false,false,true,false,-22.906056,-47.072563
RODOVIARIA DE CAMACARI - BA,CAR,242,Ponto de Controle - 12,10,40,false,false,true,false,-12.701791,-38.319168
SAO FRANCISCO - BA / CHURRASCARIA CARNE ASSADA,CARNE ASSA,474,Local Não Autorizado - 42,0,50,false,false,false,false,-12.199964,-43.673732
RODOVIARIA DE CARUARU-PE,CARUARU,173,Ponto de Controle - 12,0,80,false,false,true,false,-8.294227,-35.988368
POSTO JK - CATALÃO - GO,CATALÃO,62,Ponto de Controle - 12,20,80,false,false,false,false,-18.180986,-47.942106
RODOVIARIA DE CABO DE SANTO AGOSTINHO - PE,CBO,235,Ponto de Controle - 12,10,75,false,false,true,false,-8.285122,-35.032494
CHURRASCARIA CACHOREIRA GRILL ESTÂNCIA 1 - SE,CCG EST,60,Ponto de Controle - 12,0,60,false,false,false,false,-11.284441,-37.45041
CHURRASCARIA CHIMARRÃO LAJES,CCLAJES,64,Ponto de Controle - 12,20,100,false,false,false,false,-5.705384,-36.225834
CHURRASCARIA CHIMARRAO MATARACA SENTIDO FOR,CCMTRAFOR,59,Ponto de Controle - 12,10,30,false,false,false,false,-6.628234,-35.125996
CHURRASCARIA CHIMARRAO MATARACA SENTIDO REC,CCMTRAREC,4,Ponto de Controle - 12,10,90,false,false,false,false,-6.559671,-35.137179
RODOVIARIA CANDIDO SALES - BA,CDS,48,Ponto de Controle - 12,10,60,false,false,true,false,-15.501969,-41.235999
RODOVIARIA DE CAMANDUCAIA - MG,CDU,243,Ponto de Controle - 12,10,35,false,false,true,false,-22.739525,-46.132021
"POSTO CERRADAO, MONTES CLAROS - MG",CERRADAO,37,Ponto de Controle - 12,10,50,false,false,false,false,-16.769036,-43.87168
RODOVIARIA DE CAFARNAUM - BA,CFM,240,Ponto de Controle - 12,10,23,false,false,true,false,-11.691655,-41.469498
RODOVIARIA DE CAMPO FORMOSO - BA,CFS,245,Ponto de Controle - 12,10,23,false,false,true,false,-10.509751,-40.327444
RODOVIARIA DE CARATINGA - MG,CGA,250,Ponto de Controle - 12,10,50,false,false,true,false,-19.796807,-42.13874
RODA VELHA - BA / CHURRASCARIA POTENCIAL SUL,CH. P. SUL,100,Ponto de Controle - 12,5,100,false,false,false,false,-12.755135,-45.943028
BEZERRA - GO / CH.STILLUS,CH.STILLUS,105,Ponto de Controle - 12,5,50,false,false,false,false,-15.482476,-47.10125
RESTAURANTE CHICAO CRISTINO CASTRO,CHICAO,125,Ponto de Controle - 12,0,30,false,false,false,false,-8.807234,-44.216248
