Código,Cód. Emb.,Desc. Resumida,Descrição,Unidade Empresarial,Tipo,Ajuste Horário,Raio,Raio Advert.,Vel.,Grupo PC.,Dist. uso vel.,Código externo,Ativo,Pedágio,Rodoviária,Suspensão,Garagem,Online,Auxlilar,Seletivo,Ponto Vel.,Area Vel.,Direções,Latitude,Longitude,Chave,Data Cadastro,Data Alteração
210,207,AGRESTINA ,RODOVIARIA DE AGRESTINA - PE,Kandango Parceiras,Ponto de Controle - 12,0,12,12,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-8.455531,-35.944957,0,2025-08-11 11:47:01,2025-09-17 16:11:54
211,208,AGUA BRANC,RODOVIARIA DE AGUA BRANCA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-5.881472,-42.639770,0,2025-08-11 11:52:09,2025-09-17 16:13:38
212,209,AGUAS LIND,RODOVIARIA DE AGUAS LINDAS DE GOIAS,Kandango Parceiras,Ponto de Controle - 12,0,45,45,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-15.714656,-48.288516,0,2025-08-11 11:56:00,2025-09-17 16:15:37
213,210,ALAGOINHAS,RODOVIARIA DE ALAGOINHAS - BA,Kandango Parceiras,Ponto de Controle - 12,0,130,130,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-12.150509,-38.400408,0,2025-08-11 11:59:24,2025-09-17 16:17:35
191,188,ALBERTA,REST. ALBERTAO - GUIMARANIA - MG,Kandango Parceiras,Local Não Autorizado - 42,2,100,100,5,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-18.797800,-46.746123,1,2025-06-17 12:06:27,2026-03-19 13:59:10
214,211,ALEM PARAI,RODOVIARIA DE ALEM PARAIBA - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-21.881718,-42.693793,0,2025-08-11 13:01:19,2025-09-17 16:19:25
215,212,ALEXANIA,RODOVIARIA DE ALEXANIA - GO,Kandango Parceiras,Ponto de Controle - 12,0,25,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.088433,-48.501017,0,2025-08-11 13:02:47,2025-09-17 16:21:55
216,213,ALTOS - PI,RODOVIARIA DE ALTOS - PI,Kandango Parceiras,Ponto de Controle - 12,0,60,60,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-5.034075,-42.442119,0,2025-08-11 13:04:46,2025-09-17 16:23:30
465,432,AlvoradaTO,Estação Rodoviária de Alvorada / Alvorada - TO,Kandango Parceiras,Ponto de Controle - 12,0,50,50,20,Não Informado,0.0,-,F,F,S,F,N,T,T,F,F,F,,-12.484208,-49.118336,1,2025-10-31 10:47:13,2025-10-31 10:47:13
217,214,AMARANTE,RODOVIARIA DE AMARANTE - PI,Kandango Parceiras,Ponto de Controle - 12,0,30,40,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-6.246846,-42.841085,0,2025-08-11 13:07:06,2025-09-17 16:25:46
218,215,AMERICANA,RODOVIARIA DE AMERICANA - SP,Kandango Parceiras,Ponto de Controle - 12,0,100,100,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.734253,-47.310984,0,2025-08-11 13:10:14,2025-09-17 16:26:43
220,217,APA - GO,RODOVIARIA DE APARECIDA DE GOIANIA - GO,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.833939,-49.246396,0,2025-08-11 13:13:55,2025-09-17 16:30:54
19,18,ARACAJU,RODOVIARIA DE ARACAJU - SE,Kandango Parceiras,Ponto de Controle - 12,0,100,100,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-10.917032,-37.088186,0,2023-09-20 14:22:14,2025-09-17 16:36:22
11,10,ARACATI,RODOVIARIA DE ARACATI - CE ,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-4.571442,-37.774531,0,2023-09-20 12:37:38,2025-09-18 08:57:08
221,218,ARACI - BA,RODOVIARIA DE ARACI - BA,Kandango Parceiras,Ponto de Controle - 12,0,25,25,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-11.341800,-38.960984,0,2025-08-11 13:16:09,2025-09-17 16:37:24
61,61,ARAGUARI,RODOVIARIA ARAGUARI - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,20,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-18.639540,-48.174921,0,2023-11-09 14:03:17,2025-09-18 09:00:37
222,219,ARAPORÃ,RODOVIARIA DE ARAPORA - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-18.429790,-49.191688,0,2025-08-11 13:18:00,2025-09-17 16:38:48
223,220,ARARAS SP,RODOVIARIA DE ARARAS - SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.359630,-47.391630,0,2025-08-11 13:19:21,2025-09-17 16:39:21
224,221,ARARIPINA ,RODOVIARIA DE ARARIPINA - PE,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.575180,-40.510572,0,2025-08-11 13:21:18,2025-09-17 16:40:01
225,222,ARUJA - SP,RODOVIARIA DE ARUJA - SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-23.394452,-46.324102,0,2025-08-11 13:23:01,2025-09-17 16:41:21
442,417,ATBOAVISTA,POSTO ALTO DA BOA VISTA / SANTA CRUZ DE GOIAS - GO,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-17.469884,-48.757826,0,2025-10-06 14:14:23,2025-11-21 11:16:28
429,404,AUX TANQUE,POSTO AUXILIAR BARREIRAS - BA,Kandango Parceiras,Ponto Auxiliar - 2,0,40,50,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-12.129371,-45.019177,0,2025-09-18 10:05:56,2025-09-18 10:05:56
149,149,BAGATINI,REST. MAURO BAGATINE - LEME,Kandango Parceiras,Local Não Autorizado - 42,0,100,130,0,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-22.217400,-47.391568,1,2024-10-17 11:52:46,2026-03-24 13:29:19
226,223,BARBALHA,RODOVIARIA DE BARBALHA - CE,Kandango Parceiras,Ponto de Controle - 12,0,25,25,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.309754,-39.301841,0,2025-08-11 13:27:52,2025-09-17 16:42:21
227,224,BARRAMANSA,RODOVIARIA DE BARRA MANSA - RJ,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.545987,-44.168736,0,2025-08-11 13:29:40,2025-08-11 13:29:40
38,37,BES,RODOVIARIA DE BARREIRAS - BA,Kandango Parceiras,Ponto de Controle - 12,0,150,150,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-12.126181,-45.017921,0,2023-09-20 15:20:59,2025-09-18 09:40:35
229,226,BETIM-MG,RODOVIARIA DE BETIM - MG,Kandango Parceiras,Ponto de Controle - 12,0,80,100,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-19.963230,-44.162484,0,2025-08-11 13:35:52,2025-09-17 16:47:14
230,227,BEZERROS,RODOVIARIA DE BEZERROS - PE,Kandango Parceiras,Ponto de Controle - 12,0,60,60,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-8.237479,-35.744633,0,2025-08-11 13:41:12,2025-09-17 16:48:45
233,230,BGP,RODOVIARIA DE BRAGANCA PAULISTA - SP,Kandango Parceiras,Ponto de Controle - 12,0,75,75,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.940596,-46.538983,0,2025-08-11 13:48:30,2025-09-17 16:49:42
234,231,BIL,RODOVIARIA DE BURITI DOS LOPES - PI,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-3.173466,-41.868377,0,2025-08-11 13:52:17,2025-09-17 16:51:37
475,442,BO ,Americana - SP / Churrascaria BO,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-22.719065,-47.294267,0,2026-03-19 11:51:03,2026-03-19 11:51:03
401,384,BOIBÃO,BREJOES - BA - CHURR. BOIBÃO,Kandango Parceiras,Local Não Autorizado - 42,0,80,80,10,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-12.983518,-39.941257,0,2025-08-29 16:49:09,2025-11-14 13:41:19
